job Title,Gender,Count
Account Coordinator,Male,2
Account Executive,Male,196
Account Executive,Female,205
Account Executive,Non-Conforming,8
Account Manager,Female,93
Account Manager,Male,96
Account Manager,Non-Conforming,4
Accountant I,Female,26
Accountant I,Male,39
Accountant II,Male,32
Accountant II,Female,37
Accountant II,Non-Conforming,2
Accountant III,Male,34
Accountant III,Female,37
Accountant III,Non-Conforming,3
Accountant IV,Female,30
Accountant IV,Non-Conforming,2
Accountant IV,Male,39
Accounting Assistant I,Male,38
Accounting Assistant I,Female,36
Accounting Assistant I,Non-Conforming,2
Accounting Assistant II,Male,45
Accounting Assistant II,Non-Conforming,2
Accounting Assistant II,Female,27
Accounting Assistant III,Female,29
Accounting Assistant III,Non-Conforming,2
Accounting Assistant III,Male,33
Accounting Assistant IV,Female,36
Accounting Assistant IV,Male,36
Actuary,Female,11
Actuary,Male,11
Administrative Assistant,Male,13
Administrative Assistant,Non-Conforming,1
Administrative Assistant,Female,15
Administrative Assistant I,Female,70
Administrative Assistant I,Non-Conforming,3
Administrative Assistant I,Male,85
Administrative Assistant II,Female,20
Administrative Assistant II,Male,17
Administrative Assistant II,Non-Conforming,1
Administrative Assistant III,Male,5
Administrative Assistant III,Female,9
Administrative Assistant IV,Female,2
Administrative Assistant IV,Male,4
Administrative Officer,Female,23
Administrative Officer,Non-Conforming,1
Administrative Officer,Male,22
Analog Circuit Design manager,Male,18
Analog Circuit Design manager,Female,19
Analog Circuit Design manager,Non-Conforming,1
Analyst Programmer,Non-Conforming,9
Analyst Programmer,Male,158
Analyst Programmer,Female,142
Assistant Manager,Male,21
Assistant Manager,Female,19
Assistant Manager,Non-Conforming,1
Assistant Professor,Male,1
Assistant Trainer,Male,73
Assistant Trainer,Non-Conforming,4
Assistant Trainer,Female,71
Associate Professor,Male,1
Attorney,Male,20
Attorney,Female,12
Attorney,Non-Conforming,3
Automation Specialist I,Male,12
Automation Specialist I,Female,8
Automation Specialist I,Non-Conforming,3
Automation Specialist II,Non-Conforming,2
Automation Specialist II,Male,14
Automation Specialist II,Female,12
Automation Specialist III,Non-Conforming,1
Automation Specialist III,Female,5
Automation Specialist III,Male,5
Automation Specialist IV,Male,5
Automation Specialist IV,Female,12
Budget/Accounting Analyst I,Male,59
Budget/Accounting Analyst I,Non-Conforming,2
Budget/Accounting Analyst I,Female,67
Budget/Accounting Analyst II,Male,78
Budget/Accounting Analyst II,Non-Conforming,3
Budget/Accounting Analyst II,Female,58
Budget/Accounting Analyst III,Non-Conforming,4
Budget/Accounting Analyst III,Male,66
Budget/Accounting Analyst III,Female,62
Budget/Accounting Analyst IV,Male,72
Budget/Accounting Analyst IV,Female,65
Budget/Accounting Analyst IV,Non-Conforming,4
Business Analyst,Female,266
Business Analyst,Non-Conforming,22
Business Analyst,Male,286
Business Development Manager,Male,4
Business Development Manager,Female,1
Business Systems Development Analyst,Non-Conforming,13
Business Systems Development Analyst,Male,143
Business Systems Development Analyst,Female,128
Chief Design Engineer,Non-Conforming,2
Chief Design Engineer,Female,35
Chief Design Engineer,Male,40
Community Outreach Specialist,Male,9
Community Outreach Specialist,Female,14
Compensation Analyst,Female,13
Compensation Analyst,Male,12
Compensation Analyst,Non-Conforming,1
Computer Systems Analyst I,Male,33
Computer Systems Analyst I,Female,38
Computer Systems Analyst I,Non-Conforming,2
Computer Systems Analyst II,Female,32
Computer Systems Analyst II,Male,43
Computer Systems Analyst III,Non-Conforming,2
Computer Systems Analyst III,Female,27
Computer Systems Analyst III,Male,32
Computer Systems Analyst IV,Male,32
Computer Systems Analyst IV,Female,24
Content Developer,Male,28
Content Developer,Female,15
Content Developer II,Male,26
Content Developer II,Female,15
Content Developer II,Non-Conforming,5
Content Developer III,Non-Conforming,2
Content Developer III,Female,21
Content Developer III,Male,22
Cost Accountant,Female,111
Cost Accountant,Male,134
Cost Accountant,Non-Conforming,10
Customer Success Manager,Non-Conforming,5
Customer Success Manager,Female,63
Customer Success Manager,Male,93
Data Coordiator,Male,146
Data Coordiator,Non-Conforming,12
Data Coordiator,Female,132
Data Visualization Specialist,Female,161
Data Visualization Specialist,Male,193
Data Visualization Specialist,Non-Conforming,12
Database Administrator I,Female,30
Database Administrator I,Non-Conforming,3
Database Administrator I,Male,33
Database Administrator II,Male,39
Database Administrator II,Non-Conforming,1
Database Administrator II,Female,32
Database Administrator III,Non-Conforming,2
Database Administrator III,Female,38
Database Administrator III,Male,29
Database Administrator IV,Female,35
Database Administrator IV,Non-Conforming,2
Database Administrator IV,Male,37
Design Engineer,Male,20
Design Engineer,Female,24
Desktop Support Technician,Non-Conforming,14
Desktop Support Technician,Female,106
Desktop Support Technician,Male,137
Developer I,Male,27
Developer I,Non-Conforming,4
Developer I,Female,42
Developer II,Female,26
Developer II,Male,23
Developer II,Non-Conforming,5
Developer III,Male,35
Developer III,Female,27
Developer III,Non-Conforming,1
Developer IV,Male,31
Developer IV,Female,31
Director of Sales,Non-Conforming,1
Director of Sales,Female,4
Director of Sales,Male,3
Editor,Female,38
Editor,Male,35
Electrical Engineer,Non-Conforming,1
Electrical Engineer,Female,13
Electrical Engineer,Male,10
Engineer I,Male,3
Engineer I,Female,4
Engineer II,Female,1
Engineer II,Male,3
Engineer III,Female,2
Engineer III,Male,3
Engineer IV,Male,2
Engineer IV,Female,1
Executive Assistant,Male,17
Executive Assistant,Non-Conforming,1
Executive Assistant,Female,14
Financial Advisor,Non-Conforming,2
Financial Advisor,Male,12
Financial Advisor,Female,13
Financial Analyst,Male,22
Financial Analyst,Non-Conforming,2
Financial Analyst,Female,27
General Manager,Non-Conforming,1
General Manager,Male,9
General Manager,Female,11
Graphic Designer,Male,2
Graphic Designer,Female,7
Help Desk Operator,Non-Conforming,2
Help Desk Operator,Male,34
Help Desk Operator,Female,37
Help Desk Technician,Non-Conforming,6
