Year,Hire,Terminated,Difference,Percentage
2001,1122,203,919,81.91
2004,1135,204,931,82.03
2003,1142,200,942,82.49
2005,1097,187,910,82.95
2006,1118,184,934,83.54
2002,1067,174,893,83.69
2000,220,31,189,85.91
2009,1140,157,983,86.23
2007,1090,150,940,86.24
2008,1108,145,963,86.91
2010,1099,132,967,87.99
2011,1101,119,982,89.19
2012,1103,115,988,89.57
2013,1105,98,1007,91.13
2014,1053,93,960,91.17
2015,1059,82,977,92.26
2016,1122,71,1051,93.67
2017,1091,58,1033,94.68
2019,1083,52,1031,95.2
2018,1147,51,1096,95.55
2020,1012,30,982,97.04
